L,H,window_id,model,ticker,val_origin_start,val_origin_end,RMSE,MAE,Directional_Accuracy
10,5,0,Ridge,GXG,2019-12-20,2021-01-15,0.08632497853639029,0.05225331011594418,0.5703703703703704
10,5,0,MLP,ECH,2019-12-20,2021-01-15,0.30653604805092544,0.19611504504640728,0.5185185185185185
10,5,0,MLP,EWW,2019-12-20,2021-01-15,0.239261918810792,0.15064586212637626,0.5074074074074074
10,5,0,MLP,EWZ,2019-12-20,2021-01-15,0.18674490906618302,0.12447559326858787,0.4703703703703704
10,5,0,MLP,GXG,2019-12-20,2021-01-15,0.21650031335821143,0.14709307963648682,0.44814814814814813
10,5,0,Random Forest,ECH,2019-12-20,2021-01-15,0.06000107827057239,0.040567455267936224,0.562962962962963
10,5,0,Random Forest,EWW,2019-12-20,2021-01-15,0.057832602678514346,0.038989199519432284,0.6
10,5,0,Random Forest,EWZ,2019-12-20,2021-01-15,0.07688616671487358,0.05139031575816565,0.5407407407407407
10,5,0,Random Forest,GXG,2019-12-20,2021-01-15,0.08559600077030007,0.05066193951816132,0.5777777777777777
10,5,0,Diffusion,ECH,2019-12-20,2021-01-15,0.05977922731515538,0.04064724669126456,0.6
10,5,0,Diffusion,EWW,2019-12-20,2021-01-15,0.0582366101732975,0.03919126829278844,0.5555555555555556
10,5,0,Diffusion,EWZ,2019-12-20,2021-01-15,0.07748142739389811,0.05167839576786268,0.5111111111111111
10,5,0,Diffusion,GXG,2019-12-20,2021-01-15,0.0856228728010915,0.051013878527275715,0.5407407407407407
10,5,1,Random Walk,ECH,2020-09-15,2021-10-08,0.03921182733095536,0.030893622773857828,0.0
10,5,1,Random Walk,EWW,2020-09-15,2021-10-08,0.031119838956698946,0.02407005924279129,0.0
10,5,1,Random Walk,EWZ,2020-09-15,2021-10-08,0.04252169120721774,0.03295495354292592,0.0
10,5,1,Random Walk,GXG,2020-09-15,2021-10-08,0.0373985682035836,0.02890417663435373,0.0
10,5,1,Historical Mean,ECH,2020-09-15,2021-10-08,0.03960584195742361,0.0311882465144598,0.5037037037037037
10,5,1,Historical Mean,EWW,2020-09-15,2021-10-08,0.03159431795031562,0.024321724554574126,0.44074074074074077
10,5,1,Historical Mean,EWZ,2020-09-15,2021-10-08,0.04300737032383839,0.03313759607038255,0.5074074074074074
10,5,1,Historical Mean,GXG,2020-09-15,2021-10-08,0.037773720490774695,0.029306930938087148,0.4925925925925926
10,5,1,AR Linear,ECH,2020-09-15,2021-10-08,0.03948789993916484,0.03124471807819802,0.4666666666666667
10,5,1,AR Linear,EWW,2020-09-15,2021-10-08,0.031648375789142626,0.02436185973589251,0.4777777777777778
10,5,1,AR Linear,EWZ,2020-09-15,2021-10-08,0.042652016001233625,0.03290552191267129,0.5444444444444444
10,5,1,AR Linear,GXG,2020-09-15,2021-10-08,0.03740943129101339,0.028924985606604774,0.5518518518518518
10,5,1,ARIMA,ECH,2020-09-15,2021-10-08,0.04010670279072385,0.03168717309555745,0.5333333333333333
10,5,1,ARIMA,EWW,2020-09-15,2021-10-08,0.03567661691158164,0.027671683542416857,0.46296296296296297
10,5,1,ARIMA,EWZ,2020-09-15,2021-10-08,0.04363003733153698,0.03334662890444564,0.5074074074074074
10,5,1,ARIMA,GXG,2020-09-15,2021-10-08,0.03754880298368569,0.02890640416124215,0.562962962962963
10,5,1,ARCH,ECH,2020-09-15,2021-10-08,0.039196102655929606,0.030896267391694727,0.4703703703703704
10,5,1,ARCH,EWW,2020-09-15,2021-10-08,0.031192861748467443,0.024130000395954303,0.46296296296296297
10,5,1,ARCH,EWZ,2020-09-15,2021-10-08,0.04246885231719088,0.03291028304401616,0.5148148148148148
10,5,1,ARCH,GXG,2020-09-15,2021-10-08,0.037256582177720474,0.028818433503167342,0.5407407407407407
10,5,1,GARCH,ECH,2020-09-15,2021-10-08,0.039179428031272626,0.030931733124896648,0.4703703703703704
10,5,1,GARCH,EWW,2020-09-15,2021-10-08,0.031467731725951686,0.02432077888858499,0.46296296296296297
10,5,1,GARCH,EWZ,2020-09-15,2021-10-08,0.04406791501321618,0.033992537518718405,0.5148148148148148
10,5,1,GARCH,GXG,2020-09-15,2021-10-08,0.03743131560303341,0.02898837875563985,0.5407407407407407
10,5,1,VAR,ECH,2020-09-15,2021-10-08,0.039244287149236466,0.030989411458480613,0.43333333333333335
10,5,1,VAR,EWW,2020-09-15,2021-10-08,0.031532641201457844,0.024394186525764226,0.45555555555555555
10,5,1,VAR,EWZ,2020-09-15,2021-10-08,0.04246731890246524,0.032879159394770374,0.5370370370370371
10,5,1,VAR,GXG,2020-09-15,2021-10-08,0.037426690377273086,0.028981598780346007,0.5148148148148148
10,5,1,Ridge,ECH,2020-09-15,2021-10-08,0.03844985233314306,0.029768113947010004,0.5962962962962963
10,5,1,Ridge,EWW,2020-09-15,2021-10-08,0.03044355423416868,0.02370558546138563,0.5777777777777777
10,5,1,Ridge,EWZ,2020-09-15,2021-10-08,0.04118847447547181,0.03129170523088131,0.6185185185185185
10,5,1,Ridge,GXG,2020-09-15,2021-10-08,0.03811713714946991,0.02906443473044564,0.5814814814814815
10,5,1,MLP,ECH,2020-09-15,2021-10-08,0.11795507598377135,0.09345290735626369,0.5259259259259259
10,5,1,MLP,EWW,2020-09-15,2021-10-08,0.11026766782702775,0.08752127602485066,0.5259259259259259
10,5,1,MLP,EWZ,2020-09-15,2021-10-08,0.10179394892007324,0.08148665019971357,0.4740740740740741
10,5,1,MLP,GXG,2020-09-15,2021-10-08,0.09336817238961641,0.07470507397370303,0.5037037037037037
10,5,1,Random Forest,ECH,2020-09-15,2021-10-08,0.03892621427265733,0.030533523225111145,0.5740740740740741
10,5,1,Random Forest,EWW,2020-09-15,2021-10-08,0.03144428992958175,0.024239947220607818,0.5407407407407407
10,5,1,Random Forest,EWZ,2020-09-15,2021-10-08,0.04265353918485152,0.033035626785926725,0.5444444444444444
10,5,1,Random Forest,GXG,2020-09-15,2021-10-08,0.0372872826477897,0.028866190700590107,0.5444444444444444
10,5,1,Diffusion,ECH,2020-09-15,2021-10-08,0.03874422736625527,0.03041759043603415,0.4777777777777778
10,5,1,Diffusion,EWW,2020-09-15,2021-10-08,0.03429650539407873,0.027250099708387352,0.43333333333333335
10,5,1,Diffusion,EWZ,2020-09-15,2021-10-08,0.04270431125510116,0.032736191341265854,0.48518518518518516
10,5,1,Diffusion,GXG,2020-09-15,2021-10-08,0.039202152665327415,0.03017966210283705,0.45925925925925926
10,5,2,Random Walk,ECH,2021-06-10,2022-07-06,0.04615708372739766,0.03779854783207871,0.0
10,5,2,Random Walk,EWW,2021-06-10,2022-07-06,0.02987059341276001,0.024198969888771397,0.0
10,5,2,Random Walk,EWZ,2021-06-10,2022-07-06,0.04447468511205706,0.03459464201526697,0.0
10,5,2,Random Walk,GXG,2021-06-10,2022-07-06,0.04113432344544363,0.030554541960004386,0.0
10,5,2,Historical Mean,ECH,2021-06-10,2022-07-06,0.045872677463024376,0.03711746133487371,0.5185185185185185
10,5,2,Historical Mean,EWW,2021-06-10,2022-07-06,0.030457423531675385,0.024650127041822838,0.4666666666666667
10,5,2,Historical Mean,EWZ,2021-06-10,2022-07-06,0.04409796102839807,0.03426696059836959,0.5444444444444444
10,5,2,Historical Mean,GXG,2021-06-10,2022-07-06,0.04083071215112578,0.02998697359337641,0.5814814814814815
10,5,2,AR Linear,ECH,2021-06-10,2022-07-06,0.0468041126365033,0.03811120618489145,0.4888888888888889
10,5,2,AR Linear,EWW,2021-06-10,2022-07-06,0.029964252370161076,0.024331856926264002,0.48518518518518516
10,5,2,AR Linear,EWZ,2021-06-10,2022-07-06,0.044381605541731706,0.034489019841603324,0.5185185185185185
10,5,2,AR Linear,GXG,2021-06-10,2022-07-06,0.040263265564782096,0.030088355546617637,0.5592592592592592
10,5,2,ARIMA,ECH,2021-06-10,2022-07-06,0.046862967094838705,0.03818183950015408,0.5407407407407407
10,5,2,ARIMA,EWW,2021-06-10,2022-07-06,0.03329054727367104,0.026890818357231432,0.48148148148148145
10,5,2,ARIMA,EWZ,2021-06-10,2022-07-06,0.0449897538508082,0.0347072159520877,0.5407407407407407
10,5,2,ARIMA,GXG,2021-06-10,2022-07-06,0.04185492311822583,0.03094364701276112,0.5
10,5,2,ARCH,ECH,2021-06-10,2022-07-06,0.046128029792341894,0.03779230150457238,0.4666666666666667
10,5,2,ARCH,EWW,2021-06-10,2022-07-06,0.02988143170078568,0.02420455159029842,0.5037037037037037
10,5,2,ARCH,EWZ,2021-06-10,2022-07-06,0.04476613186393924,0.034921176079325704,0.4740740740740741
10,5,2,ARCH,GXG,2021-06-10,2022-07-06,0.040810746637011605,0.03038278992150136,0.5444444444444444
10,5,2,GARCH,ECH,2021-06-10,2022-07-06,0.046071348833179024,0.03779367964890052,0.4666666666666667
10,5,2,GARCH,EWW,2021-06-10,2022-07-06,0.029936766444306453,0.024234013428442173,0.5037037037037037
10,5,2,GARCH,EWZ,2021-06-10,2022-07-06,0.04701218788311779,0.036862828489952454,0.4740740740740741
10,5,2,GARCH,GXG,2021-06-10,2022-07-06,0.040604077200639466,0.030548061965159468,0.5444444444444444
10,5,2,VAR,ECH,2021-06-10,2022-07-06,0.04605691099863814,0.037830924982083486,0.48148148148148145
