L,H,Asset,Model,RMSE,MAE,Directional_Accuracy,N_Windows,MCS_Status
10,5,GXG,AR Linear,0.04926375756910386,0.03543812006315418,0.5503703703703703,5,Excluded
10,5,GXG,ARCH,0.049402244237995024,0.03552400852850578,0.542962962962963,5,In MCS
10,5,GXG,ARIMA,0.05042682852753744,0.03604145999039425,0.5281481481481481,5,Excluded
10,5,GXG,Diffusion,0.05080817794175735,0.03647244694337355,0.5059259259259259,5,Excluded
10,5,GXG,GARCH,0.049245251655733416,0.03563319352856278,0.542962962962963,5,Excluded
10,5,GXG,Historical Mean,0.049687255159592845,0.03561900178445076,0.54,5,Excluded
10,5,GXG,MLP,0.10105283464152018,0.07462009895547732,0.4792592592592593,5,Excluded
10,5,GXG,Random Forest,0.04999052452632129,0.035863240671734936,0.537037037037037,5,Excluded
10,5,GXG,Random Walk,0.04974338377303813,0.03569657260629558,0.5,5,Excluded
10,5,GXG,Ridge,0.05017647980406169,0.03619693073293251,0.5688888888888889,5,Excluded
10,5,GXG,VAR,0.04942537028152132,0.035569927544662164,0.5377777777777778,5,Excluded
21,1,ECH,AR Linear,0.02099975685810498,0.015407146018100384,0.4780669144981412,5,Excluded
21,1,ECH,ARCH,0.02084462225272406,0.01526817209413205,0.45650557620817844,5,Excluded
21,1,ECH,ARIMA,0.023045879747150295,0.01683987176022347,0.49368029739776953,5,Excluded
21,1,ECH,Diffusion,0.020800454625272455,0.015257474588562686,0.5055762081784387,5,Excluded
21,1,ECH,GARCH,0.021595566644639852,0.015760593026293977,0.45650557620817844,5,Excluded
21,1,ECH,Historical Mean,0.021211030279131026,0.015588282693783794,0.5018587360594795,5,Excluded
21,1,ECH,MLP,0.184511109738027,0.13791359508089068,0.4973977695167286,5,Excluded
21,1,ECH,Random Forest,0.020794721876220494,0.015187512965369724,0.5011152416356877,5,Excluded
21,1,ECH,Random Walk,0.02071187239654438,0.015155311298301322,0.5,5,In MCS
21,1,ECH,Ridge,0.02126521946736843,0.015723039058290422,0.491449814126394,5,Excluded
21,1,ECH,VAR,0.02094362327241786,0.015311636244693973,0.48178438661710044,5,Excluded
21,1,EWW,AR Linear,0.016519941057206187,0.012339924948372957,0.5033457249070632,5,Excluded
21,1,EWW,ARCH,0.01637537695474716,0.012288322590299435,0.4713754646840148,5,Excluded
21,1,EWW,ARIMA,0.020501579124822606,0.015621960897548914,0.4877323420074349,5,Excluded
21,1,EWW,Diffusion,0.01643444946357367,0.012404932819901593,0.49368029739776953,5,Excluded
21,1,EWW,GARCH,0.016883379413944098,0.012605347231308203,0.4713754646840148,5,Excluded
21,1,EWW,Historical Mean,0.01663398211254284,0.012623063423347226,0.4973977695167286,5,Excluded
21,1,EWW,MLP,0.1633866101177663,0.12463758276010377,0.4907063197026022,5,Excluded
21,1,EWW,Random Forest,0.016357751812850468,0.012258664005699665,0.5204460966542751,5,Excluded
21,1,EWW,Random Walk,0.016279803379877056,0.012236448136174157,0.5,5,In MCS
21,1,EWW,Ridge,0.017074029435866507,0.012838475614045209,0.5144981412639404,5,Excluded
21,1,EWW,VAR,0.01643205392027104,0.012356561096344547,0.48104089219330853,5,Excluded
21,1,EWZ,AR Linear,0.02400962448414596,0.01761538914925814,0.504089219330855,5,Excluded
21,1,EWZ,ARCH,0.023854764074554717,0.01749296614751542,0.524907063197026,5,Excluded
