L,H,window_id,model,regime,n_eval,RMSE,MAE,Directional_Accuracy
10,5,4,GARCH,high_vol,159,0.03489199902092851,0.02800735980126901,0.4638364779874214
10,5,4,VAR,low_vol,111,0.03627144853646712,0.029027338964356112,0.5337837837837838
10,5,4,VAR,high_vol,159,0.03449419548119291,0.02755235770671489,0.4827044025157233
10,5,4,Ridge,low_vol,111,0.037153893777607694,0.030106976684026843,0.5518018018018018
10,5,4,Ridge,high_vol,159,0.03565702242024888,0.028771713569232284,0.47641509433962265
10,5,4,MLP,low_vol,111,0.09002618737187067,0.05825803603235753,0.47297297297297297
10,5,4,MLP,high_vol,159,0.07282430155694625,0.054862892423083245,0.45754716981132076
10,5,4,Random Forest,low_vol,111,0.03614582834820259,0.028980753528292845,0.5
10,5,4,Random Forest,high_vol,159,0.035067895876017253,0.028207227167957098,0.4811320754716981
10,5,4,Diffusion,low_vol,111,0.035948577133975236,0.028787457005952387,0.5202702702702703
10,5,4,Diffusion,high_vol,159,0.035112336399833736,0.02812113786164833,0.4968553459119497
21,1,0,Random Walk,low_vol,58,0.015868854462080473,0.011781352417294725,0.02586206896551724
21,1,0,Random Walk,high_vol,211,0.034402314077820746,0.02208461737464918,0.0035545023696682463
21,1,0,Historical Mean,low_vol,58,0.016219900531123363,0.012233484756904497,0.47413793103448276
21,1,0,Historical Mean,high_vol,211,0.03520584448538318,0.022859846613272457,0.5284360189573459
21,1,0,AR Linear,low_vol,58,0.015927891300498764,0.011810758991618254,0.4870689655172414
21,1,0,AR Linear,high_vol,211,0.03464558684777439,0.02242025709569846,0.5082938388625592
21,1,0,ARIMA,low_vol,58,0.01605720495105704,0.012112767463449216,0.46551724137931033
21,1,0,ARIMA,high_vol,211,0.03556232483180972,0.022829543248354133,0.49644549763033174
21,1,0,ARCH,low_vol,58,0.015896560185018813,0.011859254799734306,0.45689655172413796
21,1,0,ARCH,high_vol,211,0.03439016834214059,0.022204656994899152,0.5130331753554502
21,1,0,GARCH,low_vol,58,0.016487220617324633,0.012459162313681136,0.45689655172413796
21,1,0,GARCH,high_vol,211,0.03612429292253008,0.0235655882251814,0.5130331753554502
21,1,0,VAR,low_vol,58,0.016109622729198515,0.01205444989448922,0.4482758620689655
21,1,0,VAR,high_vol,211,0.03442083475860492,0.022197307109968673,0.5177725118483413
21,1,0,Ridge,low_vol,58,0.016325434939150462,0.012156256380110305,0.47413793103448276
21,1,0,Ridge,high_vol,211,0.035938103173798794,0.02303310209746313,0.5165876777251185
21,1,0,MLP,low_vol,58,0.19696721186243255,0.14993615656263676,0.4482758620689655
21,1,0,MLP,high_vol,211,0.453870131599228,0.3083369842741172,0.5177725118483413
21,1,0,Random Forest,low_vol,58,0.015996517973247467,0.011864862887260116,0.46551724137931033
21,1,0,Random Forest,high_vol,211,0.034828070317670774,0.02213385919727727,0.523696682464455
21,1,0,Diffusion,low_vol,58,0.016079669723191133,0.012040110325486613,0.4525862068965517
21,1,0,Diffusion,high_vol,211,0.03444881724949595,0.022049655110998986,0.5272511848341233
21,1,1,Random Walk,low_vol,82,0.015442324368096047,0.011767286225850897,0.012195121951219513
21,1,1,Random Walk,high_vol,187,0.017284991018488342,0.012910483267948848,0.0053475935828877
21,1,1,Historical Mean,low_vol,82,0.015971205175745393,0.012120997406111743,0.49085365853658536
21,1,1,Historical Mean,high_vol,187,0.017444534963306443,0.01306708105088102,0.5548128342245989
