L,H,Regime,Model,RMSE,MAE,Directional_Accuracy,N_Windows,N_Val_Total
10,5,high_vol,VAR,0.04825188503181453,0.03604090734829291,0.49993473942821104,5,988
10,5,low_vol,AR Linear,0.03663971331269621,0.028436268007389826,0.486717167048383,5,362
10,5,low_vol,ARCH,0.03659128490420048,0.028397455969423023,0.5066184396039205,5,362
10,5,low_vol,ARIMA,0.037423240812323996,0.028911029765061026,0.5040079588173961,5,362
10,5,low_vol,Diffusion,0.03702120656900844,0.02866986739023843,0.5001892860332061,5,362
10,5,low_vol,GARCH,0.03706479986507742,0.028786621805069208,0.5066184396039205,5,362
10,5,low_vol,Historical Mean,0.036917327197214335,0.028876678835530988,0.4475875778053637,5,362
10,5,low_vol,MLP,0.0806200867310074,0.059265978593548194,0.49541070981633595,5,362
10,5,low_vol,Random Forest,0.03637756209000928,0.028209081052835157,0.5580221276001676,5,362
10,5,low_vol,Random Walk,0.03655533172192236,0.028335131644152124,0.5,5,362
10,5,low_vol,Ridge,0.036228549934563634,0.028007692544755602,0.576888002409781,5,362
10,5,low_vol,VAR,0.03666917286353305,0.028475175502485572,0.4787622014028548,5,362
21,1,high_vol,AR Linear,0.021300441961737873,0.015356983315186878,0.5099788916098124,5,942
21,1,high_vol,ARCH,0.02117971696675027,0.01525752579027299,0.492649287684453,5,942
21,1,high_vol,ARIMA,0.02358312899478142,0.01709787240890869,0.4970200562446728,5,942
21,1,high_vol,Diffusion,0.02123840094707579,0.015270315780233079,0.49871474479659755,5,942
21,1,high_vol,GARCH,0.022826788030069538,0.01655377347914664,0.492649287684453,5,942
21,1,high_vol,Historical Mean,0.021599859550097036,0.015619550007394414,0.5135847091232126,5,942
21,1,high_vol,MLP,0.19517989352222462,0.14078326435528027,0.5080562590500208,5,942
21,1,high_vol,Random Forest,0.02126895866443425,0.015209758548396495,0.5146194921009283,5,942
21,1,high_vol,Random Walk,0.021122201035865942,0.015175928165643227,0.5,5,942
21,1,high_vol,Ridge,0.022074554607237024,0.01596250391820451,0.5037299135750247,5,942
21,1,high_vol,VAR,0.02119478259204839,0.015268275246593618,0.5085357904242929,5,942
21,1,low_vol,AR Linear,0.01573230192604317,0.011857211083204028,0.5060795685107263,5,403
21,1,low_vol,ARCH,0.015680576432123353,0.011800451564097616,0.5153588802647652,5,403
21,1,low_vol,ARIMA,0.01744491879385528,0.013245641054039687,0.4960030115084518,5,403
21,1,low_vol,Diffusion,0.015861599799636944,0.012015172752752174,0.4904064763745735,5,403
21,1,low_vol,GARCH,0.01664968949726795,0.012400676797746866,0.5153588802647652,5,403
21,1,low_vol,Historical Mean,0.016162214054164077,0.012269838671090263,0.4964177295669174,5,403
