L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
21,1,3,Ridge,2022-03-10,2023-04-04,1788,269,0.01975184563940179,0.015249636476254581,0.45539033457249073
21,1,3,MLP,2022-03-10,2023-04-04,1788,269,0.09726086502831577,0.07419968234986782,0.4879182156133829
21,1,3,Random Forest,2022-03-10,2023-04-04,1788,269,0.019247982229619622,0.01468164696058402,0.48977695167286245
21,1,3,Diffusion,2022-03-10,2023-04-04,1788,269,0.25727931788098474,0.19669196754545057,0.48977695167286245
21,1,4,Random Walk,2022-12-05,2023-12-29,1974,269,0.015291797282533747,0.011758341187670404,0.007434944237918215
21,1,4,Historical Mean,2022-12-05,2023-12-29,1974,269,0.015631762071679982,0.012028904905973822,0.5111524163568774
21,1,4,AR Linear,2022-12-05,2023-12-29,1974,269,0.015450769533750693,0.011853130127128395,0.49070631970260226
21,1,4,Ridge,2022-12-05,2023-12-29,1974,269,0.015483883795830518,0.011902764678496916,0.5130111524163569
21,1,4,MLP,2022-12-05,2023-12-29,1974,269,0.11430176147511978,0.08598571543720307,0.48234200743494426
21,1,4,Random Forest,2022-12-05,2023-12-29,1974,269,0.015295422984957913,0.01172511387476625,0.5148698884758365
21,1,4,Diffusion,2022-12-05,2023-12-29,1974,269,0.23193381087240653,0.184826566094817,0.48234200743494426
21,5,0,Random Walk,2019-12-30,2021-01-21,1231,268,0.07161836370946639,0.04682079033303034,0.0
21,5,0,Historical Mean,2019-12-30,2021-01-21,1231,268,0.07160427916322444,0.047057843394798085,0.519589552238806
21,5,0,AR Linear,2019-12-30,2021-01-21,1231,268,0.0716583269234395,0.04683717547251886,0.523320895522388
21,5,0,Ridge,2019-12-30,2021-01-21,1231,268,0.07252292913040888,0.047987429322249954,0.5009328358208955
21,5,0,MLP,2019-12-30,2021-01-21,1231,268,0.4003149024470704,0.269723962403971,0.5018656716417911
21,5,0,Random Forest,2019-12-30,2021-01-21,1231,268,0.071689117959393,0.046514564854161375,0.5279850746268657
21,5,0,Diffusion,2019-12-30,2021-01-21,1231,268,1.2048131545722218,0.9539549775804923,0.5251865671641791
21,5,1,Random Walk,2020-09-22,2021-10-13,1415,268,0.03712516324619036,0.028628248504474683,0.0
